family,genus,species,N
Lamiaceae,Lamium,Lamium galeobdolon,8454
Asteraceae,Lapsana,Lapsana communis,6481
Apiaceae,Laserpitium,Laserpitium latifolium,27
Orobanchaceae,Lathraea,Lathraea squamaria,472
Fabaceae,Lathyrus,Lathyrus japonicus,3904
Fabaceae,Lathyrus,Lathyrus linifolius,8668
Fabaceae,Lathyrus,Lathyrus niger,75
Fabaceae,Lathyrus,Lathyrus palustris,771
Fabaceae,Lathyrus,Lathyrus pratensis,30472
Fabaceae,Lathyrus,Lathyrus sphaericus,108
Fabaceae,Lathyrus,Lathyrus sylvestris,1147
Fabaceae,Lathyrus,Lathyrus vernus,200
Poaceae,Leersia,Leersia oryzoides,1
Araceae,Lemna,Lemna gibba,900
Araceae,Lemna,Lemna minor,50957
Araceae,Lemna,Lemna trisulca,15057
Asteraceae,Leontodon,Leontodon hispidus,1259
Asteraceae,Leucanthemum,Leucanthemum vulgare,11872
Poaceae,Leymus,Leymus arenarius,10243
Apiaceae,Ligusticum,Ligusticum scothicum,55
Plumbaginaceae,Limonium,Limonium humile,323
Plumbaginaceae,Limonium,Limonium vulgare,2711
Scrophulariaceae,Limosella,Limosella aquatica,26
Plantaginaceae,Linaria,Linaria vulgaris,16513
Caprifoliaceae,Linnaea,Linnaea borealis,162
Linaceae,Linum,Linum catharticum,4285
Boraginaceae,Lithospermum,Lithospermum officinale,179
Campanulaceae,Lobelia,Lobelia dortmanna,371
Asteraceae,Logfia,Logfia minima,1463
Poaceae,Lolium,Lolium perenne,86135
Caprifoliaceae,Lonicera,Lonicera periclymenum,24764
Caprifoliaceae,Lonicera,Lonicera xylosteum,4028
Fabaceae,Lotus,Lotus corniculatus,33022
Fabaceae,Lotus,Lotus pedunculatus,51647
Fabaceae,Lotus,Lotus pedunculatus,51647
Fabaceae,Lotus,Lotus tenuis,3898
Brassicaceae,Lunaria,Lunaria rediviva,29
Alismataceae,Luronium,Luronium natans,70
Juncaceae,Luzula,Luzula campestris,50825
Juncaceae,Luzula,Luzula congesta,1338
Juncaceae,Luzula,Luzula multiflora,22629
Juncaceae,Luzula,Luzula pilosa,9943
Juncaceae,Luzula,Luzula sylvatica,952
Caryophyllaceae,Silene,Silene flos-cuculi,28213
Lycopodiaceae,Lycopodiella,Lycopodiella inundata,1046
Lycopodiaceae,Spinulum,Spinulum annotinum,1161
Lycopodiaceae,Lycopodium,Lycopodium clavatum,1263
Lycopodiaceae,Diphasiastrum,Diphasiastrum complanatum,20
Lycopodiaceae,Diphasiastrum,Diphasiastrum tristachyum,75
Lamiaceae,Lycopus,Lycopus europaeus,46125
Primulaceae,Lysimachia,Lysimachia europaea,13750
Primulaceae,Lysimachia,Lysimachia maritima,16976
Primulaceae,Lysimachia,Lysimachia minima,69
Primulaceae,Lysimachia,Lysimachia nemorum,905
Primulaceae,Lysimachia,Lysimachia nummularia,4965
Primulaceae,Lysimachia,Lysimachia thyrsiflora,13247
Primulaceae,Lysimachia,Lysimachia vulgaris,39637
Lythraceae,Lythrum,Lythrum portula,498
Lythraceae,Lythrum,Lythrum salicaria,23890
Asparagaceae,Maianthemum,Maianthemum bifolium,7487
Rosaceae,Malus,Malus sylvestris,2810
Malvaceae,Malva,Malva alcea,457
Onocleaceae,Matteuccia,Matteuccia struthiopteris,957
Fabaceae,Medicago,Medicago lupulina,15014
Fabaceae,Medicago,Medicago minima,391
Fabaceae,Medicago,Medicago sativa,3057
Orobanchaceae,Melampyrum,Melampyrum arvense,1203
Orobanchaceae,Melampyrum,Melampyrum cristatum,175
Orobanchaceae,Melampyrum,Melampyrum nemorosum,154
Orobanchaceae,Melampyrum,Melampyrum pratense,4132
Orobanchaceae,Melampyrum,Melampyrum sylvaticum,95
Poaceae,Melica,Melica nutans,171
Poaceae,Melica,Melica uniflora,10218
Fabaceae,Melilotus,Melilotus altissimus,528
Fabaceae,Melilotus,Melilotus dentatus,99
Lamiaceae,Mentha,Mentha aquatica,49591
Lamiaceae,Mentha,Mentha arvensis,1369
Menyanthaceae,Menyanthes,Menyanthes trifoliata,15397
Euphorbiaceae,Mercurialis,Mercurialis perennis,6764
Boraginaceae,Mertensia,Mertensia maritima,3
Poaceae,Milium,Milium effusum,12791
Caryophyllaceae,Moehringia,Moehringia trinervia,2921
Poaceae,Molinia,Molinia caerulea,169392
Ericaceae,Moneses,Moneses uniflora,29
Ericaceae,Hypopitys,Hypopitys hypophegea,35
Ericaceae,Hypopitys,Hypopitys monotropa,217
Montiaceae,Montia,Montia fontana,606
Montiaceae,Montia,Montia arvensis,179
Boraginaceae,Myosotis,Myosotis discolor,2309
Boraginaceae,Myosotis,Myosotis laxa,14429
Boraginaceae,Myosotis,Myosotis ramosissima,2769
Boraginaceae,Myosotis,Myosotis scorpioides,31096
Boraginaceae,Myosotis,Myosotis stricta,638
Boraginaceae,Myosotis,Myosotis sylvatica,1057
Caryophyllaceae,Stellaria,Stellaria aquatica,673
Ranunculaceae,Myosurus,Myosurus minimus,406
Myricaceae,Myrica,Myrica gale,26896
Haloragaceae,Myriophyllum,Myriophyllum alterniflorum,314
Haloragaceae,Myriophyllum,Myriophyllum spicatum,1173
Haloragaceae,Myriophyllum,Myriophyllum verticillatum,268
Hydrocharitaceae,Najas,Najas flexilis,8
Hydrocharitaceae,Najas,Najas marina,34
Poaceae,Nardus,Nardus stricta,26436
Nartheciaceae,Narthecium,Narthecium ossifragum,7628
Brassicaceae,Nasturtium,Nasturtium microphyllum,1241
Brassicaceae,Nasturtium,Nasturtium officinale,677
Orchidaceae,Neotinea,Neotinea ustulata,40
Orchidaceae,Neottia,Neottia cordata,116
Orchidaceae,Neottia,Neottia nidus-avis,465
Orchidaceae,Neottia,Neottia ovata,1434
Nymphaeaceae,Nuphar,Nuphar lutea,2328
Nymphaeaceae,Nuphar,Nuphar pumila,51
Nymphaeaceae,Nymphaea,Nymphaea alba,4318
Orobanchaceae,Odontites,Odontites litoralis,212
Orobanchaceae,Odontites,Odontites vernus,2237
Apiaceae,Oenanthe,Oenanthe aquatica,1696
Apiaceae,Oenanthe,Oenanthe fistulosa,953
Apiaceae,Oenanthe,Oenanthe fluviatilis,122
Apiaceae,Oenanthe,Oenanthe lachenalii,912
Fabaceae,Ononis,Ononis arvensis,159
Fabaceae,Ononis,Ononis spinosa,17193
Fabaceae,Ononis,Ononis spinosa,17193
Ophioglossaceae,Ophioglossum,Ophioglossum vulgatum,1403
Orchidaceae,Ophrys,Ophrys insectifera,95
Orchidaceae,Orchis,Orchis mascula,1607
Orchidaceae,Orchis,Orchis militaris,22
Orchidaceae,Orchis,Orchis purpurea,473
Lamiaceae,Origanum,Origanum vulgare,5464
Fabaceae,Ornithopus,Ornithopus perpusillus,4074
Orobanchaceae,Orobanche,Orobanche elatior,117
Orobanchaceae,Orobanche,Orobanche picridis,6
Orobanchaceae,Orobanche,Orobanche reticulata,7
Ericaceae,Orthilia,Orthilia secunda,90
Osmundaceae,Osmunda,Osmunda regalis,353
Oxalidaceae,Oxalis,Oxalis acetosella,16706
Amaranthaceae,Oxybasis,Oxybasis chenopodioides,358
Amaranthaceae,Oxybasis,Oxybasis glauca,762
Amaranthaceae,Oxybasis,Oxybasis rubra,437
Poaceae,Parapholis,Parapholis strigosa,187
Melanthiaceae,Paris,Paris quadrifolia,1619
Parnassiaceae,Parnassia,Parnassia palustris,1572
Orobanchaceae,Pedicularis,Pedicularis palustris,2075
Orobanchaceae,Pedicularis,Pedicularis sylvatica,2708
Polygonaceae,Persicaria,Persicaria amphibia,48389
Polygonaceae,Persicaria,Persicaria hydropiper,5758
Polygonaceae,Persicaria,Persicaria lapathifolia,2794
Polygonaceae,Persicaria,Persicaria minor,633
Asteraceae,Petasites,Petasites albus,338
Asteraceae,Petasites,Petasites spurius,180
Caryophyllaceae,Petrorhagia,Petrorhagia prolifera,582
Apiaceae,Oreoselinum,Oreoselinum nigrum,28
Poaceae,Phalaris,Phalaris arundinacea,62535
Thelypteridaceae,Phegopteris,Phegopteris connectilis,426
Poaceae,Phleum,Phleum arenarium,588
Poaceae,Phleum,Phleum phleoides,1317
Poaceae,Phragmites,Phragmites australis,148675
Campanulaceae,Phyteuma,Phyteuma spicatum,828
Asteraceae,Picris,Picris hieracioides,302
Asteraceae,Pilosella,Pilosella cymosa,55
Asteraceae,Pilosella,Pilosella lactucella,1432
Asteraceae,Pilosella,Pilosella officinarum,1823
Asteraceae,Pilosella,Pilosella peleteriana,139
Marsileaceae,Pilularia,Pilularia globulifera,187
Apiaceae,Pimpinella,Pimpinella major,149
Apiaceae,Pimpinella,Pimpinella saxifraga,18991
Lentibulariaceae,Pinguicula,Pinguicula vulgaris,1347
Plantaginaceae,Plantago,Plantago coronopus,2182
Plantaginaceae,Plantago,Plantago lanceolata,91600
Plantaginaceae,Plantago,Plantago uliginosa,1879
Plantaginaceae,Plantago,Plantago maritima,26137
Plantaginaceae,Plantago,Plantago media,3251
Orchidaceae,Platanthera,Platanthera bifolia,844
Orchidaceae,Platanthera,Platanthera bifolia,844
Orchidaceae,Platanthera,Platanthera chlorantha,1453
Poaceae,Poa,Poa bulbosa,34
Poaceae,Poa,Poa compressa,4395
Poaceae,Poa,Poa nemoralis,5984
Poaceae,Poa,Poa palustris,1361
Poaceae,Poa,Poa pratensis,104586
Poaceae,Poa,Poa humilis,1380
Poaceae,Poa,Poa remota,57
Poaceae,Poa,Poa supina,20
Poaceae,Poa,Poa trivialis,112941
Polygalaceae,Polygala,Polygala amarella,105
Polygalaceae,Polygala,Polygala serpyllifolia,662
Polygalaceae,Polygala,Polygala vulgaris,5638
Asparagaceae,Polygonatum,Polygonatum multiflorum,5017
Asparagaceae,Polygonatum,Polygonatum odoratum,237
Asparagaceae,Polygonatum,Polygonatum verticillatum,178
Polygonaceae,Polygonum,Polygonum aviculare,10335
Polygonaceae,Polygonum,Polygonum aviculare,10335
Polygonaceae,Polygonum,Polygonum aviculare,10335
Polygonaceae,Polygonum,Polygonum oxyspermum,8
Polygonaceae,Polygonum,Polygonum norvegicum,3
Polypodiaceae,Polypodium,Polypodium vulgare,21977
Dryopteridaceae,Polystichum,Polystichum aculeatum,17
Salicaceae,Populus,Populus tremula,17723
Potamogetonaceae,Potamogeton,Potamogeton acutifolius,32
Potamogetonaceae,Potamogeton,Potamogeton alpinus,230
Potamogetonaceae,Potamogeton,Potamogeton berchtoldii,2510
Potamogetonaceae,Potamogeton,Potamogeton coloratus,63
Potamogetonaceae,Potamogeton,Potamogeton compressus,69
Potamogetonaceae,Potamogeton,Potamogeton crispus,1296
Potamogetonaceae,Potamogeton,Potamogeton friesii,95
Potamogetonaceae,Potamogeton,Potamogeton gramineus,111
Potamogetonaceae,Potamogeton,Potamogeton lucens,97
Potamogetonaceae,Potamogeton,Potamogeton natans,15867
Potamogetonaceae,Potamogeton,Potamogeton obtusifolius,1423
Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,221
Potamogetonaceae,Potamogeton,Potamogeton polygonifolius,2750
Potamogetonaceae,Potamogeton,Potamogeton praelongus,67
Potamogetonaceae,Potamogeton,Potamogeton pusillus,287
Potamogetonaceae,Potamogeton,Potamogeton trichoides,16
Rosaceae,Potentilla,Potentilla anglica,320
Rosaceae,Potentilla,Potentilla argentea,6007
Rosaceae,Potentilla,Potentilla erecta,65228
Rosaceae,Potentilla,Potentilla heptaphylla,434
Rosaceae,Potentilla,Potentilla neglecta,320
Rosaceae,Potentilla,Potentilla norvegica,14
Rosaceae,Potentilla,Potentilla reptans,23288
Rosaceae,Potentilla,Potentilla sterilis,198
Rosaceae,Potentilla,Potentilla sterneri,1
Rosaceae,Potentilla,Potentilla subarenaria,78
Rosaceae,Potentilla,Potentilla verna,313
Primulaceae,Primula,Primula elatior,2054
Primulaceae,Primula,Primula farinosa,188
Primulaceae,Primula,Primula veris,8622
Primulaceae,Primula,Primula vulgaris,1164
Lamiaceae,Prunella,Prunella grandiflora,11
Lamiaceae,Prunella,Prunella vulgaris,24743
Rosaceae,Prunus,Prunus avium,10166
Rosaceae,Prunus,Prunus padus,9627
Rosaceae,Prunus,Prunus spinosa,24657
Orchidaceae,Pseudorchis,Pseudorchis albida,11
Dennstaedtiaceae,Pteridium,Pteridium aquilinum,6378
Poaceae,Puccinellia,Puccinellia distans,2434
Poaceae,Puccinellia,Puccinellia maritima,21219
Asteraceae,Pulicaria,Pulicaria dysenterica,257
Boraginaceae,Pulmonaria,Pulmonaria angustifolia,12
Boraginaceae,Pulmonaria,Pulmonaria obscura,1045
Boraginaceae,Pulmonaria,Pulmonaria officinalis,67
Ranunculaceae,Pulsatilla,Pulsatilla pratensis,2983
Ranunculaceae,Pulsatilla,Pulsatilla vernalis,95
Ranunculaceae,Pulsatilla,Pulsatilla vulgaris,1030
Ericaceae,Pyrola,Pyrola chlorantha,5
Ericaceae,Pyrola,Pyrola media,24
Ericaceae,Pyrola,Pyrola minor,705
Ericaceae,Pyrola,Pyrola rotundifolia,313
Fagaceae,Quercus,Quercus petraea,3680
Fagaceae,Quercus,Quercus robur,92394
Linaceae,Radiola,Radiola linoides,261
Ranunculaceae,Ranunculus,Ranunculus acris,66800
Ranunculaceae,Ranunculus,Ranunculus aquatilis,2020
Ranunculaceae,Ranunculus,Ranunculus trichophyllus,254
Ranunculaceae,Ranunculus,Ranunculus auricomus,2242
Ranunculaceae,Ranunculus,Ranunculus bulbosus,21252
Ranunculaceae,Ranunculus,Ranunculus circinatus,178
Ranunculaceae,Ranunculus,Ranunculus flammula,25004
Ranunculaceae,Ranunculus,Ranunculus hederaceus,358
Ranunculaceae,Ranunculus,Ranunculus lanuginosus,231
Ranunculaceae,Ranunculus,Ranunculus lingua,3541
Ranunculaceae,Ranunculus,Ranunculus peltatus,1245
Ranunculaceae,Ranunculus,Ranunculus peltatus,1245
Ranunculaceae,Ranunculus,Ranunculus penicillatus,8
Ranunculaceae,Ranunculus,Ranunculus penicillatus,8
Ranunculaceae,Ranunculus,Ranunculus polyanthemos,145
Ranunculaceae,Ranunculus,Ranunculus repens,109212
Ranunculaceae,Ranunculus,Ranunculus reptans,89
Ranunculaceae,Ranunculus,Ranunculus sardous,1476
Ranunculaceae,Ranunculus,Ranunculus sceleratus,14281
Rhamnaceae,Rhamnus,Rhamnus cathartica,1730
Orobanchaceae,Rhinanthus,Rhinanthus minor,5418
Ericaceae,Rhododendron,Rhododendron tomentosum,8
Cyperaceae,Rhynchospora,Rhynchospora alba,10017
Cyperaceae,Rhynchospora,Rhynchospora fusca,1478
Grossulariaceae,Ribes,Ribes alpinum,1895
Grossulariaceae,Ribes,Ribes nigrum,7055
Grossulariaceae,Ribes,Ribes spicatum,2077
Brassicaceae,Rorippa,Rorippa amphibia,1456
Brassicaceae,Rorippa,Rorippa palustris,3265
Brassicaceae,Rorippa,Rorippa sylvestris,361
Rosaceae,Rosa,Rosa agrestis,125
Rosaceae,Rosa,Rosa balsamica,242
Rosaceae,Rosa,Rosa canina,14552
Rosaceae,Rosa,Rosa caesia,600
Rosaceae,Rosa,Rosa dumalis,4401
Rosaceae,Rosa,Rosa inodora,75
Rosaceae,Rosa,Rosa mollis,954
Rosaceae,Rosa,Rosa rubiginosa,2645
Rosaceae,Rosa,Rosa sherardii,421
Rosaceae,Rosa,Rosa spinosissima,4653
Rosaceae,Rosa,Rosa tomentosa,31
Rosaceae,Rubus,Rubus caesius,12401
Rosaceae,Rubus,Rubus chamaemorus,498
Rosaceae,Rubus,Rubus idaeus,45283
Rosaceae,Rubus,Rubus saxatilis,347
Polygonaceae,Rumex,Rumex acetosa,111166
Polygonaceae,Rumex,Rumex acetosella,46186
Polygonaceae,Rumex,Rumex aquaticus,461
Polygonaceae,Rumex,Rumex conglomeratus,4321
Polygonaceae,Rumex,Rumex crispus,62434
Polygonaceae,Rumex,Rumex bryhnii,27
Polygonaceae,Rumex,Rumex hydrolapathum,15770
Polygonaceae,Rumex,Rumex maritimus,876
Polygonaceae,Rumex,Rumex palustris,225
Polygonaceae,Rumex,Rumex sanguineus,5658
Polygonaceae,Rumex,Rumex thyrsiflorus,8012
Ruppiaceae,Ruppia,Ruppia cirrhosa,171
Ruppiaceae,Ruppia,Ruppia maritima,178
Caryophyllaceae,Sagina,Sagina maritima,448
Caryophyllaceae,Sagina,Sagina nodosa,1623
Caryophyllaceae,Sagina,Sagina procumbens,4496
Caryophyllaceae,Sagina,Sagina subulata,23
Alismataceae,Sagittaria,Sagittaria sagittifolia,191
Amaranthaceae,Salicornia,Salicornia europaea,8419
Salicaceae,Salix,Salix aurita,25599
Salicaceae,Salix,Salix caprea,7163
Salicaceae,Salix,Salix cinerea,103599
Salicaceae,Salix,Salix hastata,1302
Salicaceae,Salix,Salix myrsinifolia,169
Salicaceae,Salix,Salix pentandra,7588
Salicaceae,Salix,Salix repens,56400
Primulaceae,Samolus,Samolus valerandi,854
Apiaceae,Sanicula,Sanicula europaea,1397
Saxifragaceae,Saxifraga,Saxifraga granulata,6973
Saxifragaceae,Saxifraga,Saxifraga hirculus,237
Saxifragaceae,Saxifraga,Saxifraga tridactylites,386
Caprifoliaceae,Scabiosa,Scabiosa canescens,99
Caprifoliaceae,Scabiosa,Scabiosa columbaria,1480
Poaceae,Lolium,Lolium giganteum,3697
Poaceae,Lolium,Lolium pratense,21651
Scheuchzeriaceae,Scheuchzeria,Scheuchzeria palustris,130
Cyperaceae,Schoenoplectus,Schoenoplectus lacustris,3730
Cyperaceae,Bolboschoenus,Bolboschoenus maritimus,23474
Cyperaceae,Schoenoplectus,Schoenoplectus tabernaemontani,9161
Cyperaceae,Schoenus,Schoenus ferrugineus,89
Cyperaceae,Schoenus,Schoenus nigricans,153
Cyperaceae,Scirpus,Scirpus sylvaticus,17693
Caryophyllaceae,Scleranthus,Scleranthus annuus,1352
Caryophyllaceae,Scleranthus,Scleranthus perennis,847
Asteraceae,Scorzonera,Scorzonera humilis,2978
Asteraceae,Scorzoneroides,Scorzoneroides autumnalis,32085
Scrophulariaceae,Scrophularia,Scrophularia nodosa,4859
Scrophulariaceae,Scrophularia,Scrophularia umbrosa,1105
Lamiaceae,Scutellaria,Scutellaria galericulata,19000
Lamiaceae,Scutellaria,Scutellaria hastifolia,2
Crassulaceae,Sedum,Sedum acre,9830
Crassulaceae,Sedum,Sedum album,585
Crassulaceae,Sedum,Sedum sexangulare,55
Selaginellaceae,Selaginella,Selaginella selaginoides,58
Apiaceae,Selinum,Selinum carvifolia,2146
Apiaceae,Selinum,Selinum dubium,12
Asteraceae,Senecio,Senecio sylvaticus,3577
Asteraceae,Senecio,Senecio vulgaris,4911
Asteraceae,Serratula,Serratula tinctoria,216
Apiaceae,Seseli,Seseli libanotis,507
Caryophyllaceae,Silene,Silene dioica,7539
Caryophyllaceae,Silene,Silene nutans,3734
Caryophyllaceae,Silene,Silene otites,396
Caryophyllaceae,Silene,Silene uniflora,148
Caryophyllaceae,Silene,Silene viscosa,157
Caryophyllaceae,Silene,Silene vulgaris,7016
Apiaceae,Sium,Sium latifolium,3260
Solanaceae,Solanum,Solanum dulcamara,40908
Asteraceae,Solidago,Solidago virgaurea,10390
Asteraceae,Sonchus,Sonchus arvensis,10472
Asteraceae,Sonchus,Sonchus palustris,4620
Rosaceae,Sorbus,Sorbus aucuparia,46416
Rosaceae,Aria,Aria rupicola,12
Rosaceae,Torminalis,Torminalis glaberrima,120
Typhaceae,Sparganium,Sparganium angustifolium,209
Typhaceae,Sparganium,Sparganium emersum,2987
Typhaceae,Sparganium,Sparganium erectum,17201
Typhaceae,Sparganium,Sparganium natans,661
Caryophyllaceae,Spergula,Spergula morisonii,49
Caryophyllaceae,Spergularia,Spergularia marina,4848
Caryophyllaceae,Spergularia,Spergularia media,6707
Caryophyllaceae,Spergularia,Spergularia rubra,1289
Amaranthaceae,Spirobassia,Spirobassia hirsuta,759
Araceae,Spirodela,Spirodela polyrhiza,5563
Lamiaceae,Stachys,Stachys palustris,16375
Lamiaceae,Stachys,Stachys sylvatica,6937
Caryophyllaceae,Stellaria,Stellaria alsine,10313
Caryophyllaceae,Stellaria,Stellaria crassifolia,76
Caryophyllaceae,Stellaria,Stellaria graminea,48215
Caryophyllaceae,Rabelera,Rabelera holostea,19857
Caryophyllaceae,Stellaria,Stellaria media,13921
Caryophyllaceae,Stellaria,Stellaria neglecta,378
Caryophyllaceae,Stellaria,Stellaria nemorum,1227
Caryophyllaceae,Stellaria,Stellaria apetala,1333
Caryophyllaceae,Stellaria,Stellaria palustris,11273
Hydrocharitaceae,Stratiotes,Stratiotes aloides,981
Potamogetonaceae,Stuckenia,Stuckenia filiformis,66
Potamogetonaceae,Stuckenia,Stuckenia pectinata,1296
Amaranthaceae,Suaeda,Suaeda maritima,6209
Brassicaceae,Subularia,Subularia aquatica,4
Caprifoliaceae,Succisa,Succisa pratensis,19420
Asteraceae,Tanacetum,Tanacetum vulgare,20048
Taxaceae,Taxus,Taxus baccata,968
Brassicaceae,Teesdalia,Teesdalia nudicaulis,6002
Asteraceae,Tephroseris,Tephroseris integrifolia,86
Asteraceae,Tephroseris,Tephroseris palustris,253
Fabaceae,Lotus,Lotus maritimus,551
Lamiaceae,Teucrium,Teucrium scordium,70
Ranunculaceae,Thalictrum,Thalictrum flavum,3364
Ranunculaceae,Thalictrum,Thalictrum minus,2889
Ranunculaceae,Thalictrum,Thalictrum simplex,138
Thelypteridaceae,Oreopteris,Oreopteris limbosperma,123
Thelypteridaceae,Thelypteris,Thelypteris palustris,6890
Lamiaceae,Thymus,Thymus pulegioides,3980
Lamiaceae,Thymus,Thymus serpyllum,4978
Malvaceae,Tilia,Tilia cordata,1434
Malvaceae,Tilia,Tilia platyphyllos,656
Apiaceae,Torilis,Torilis japonica,4219
Cyperaceae,Trichophorum,Trichophorum alpinum,59
Cyperaceae,Trichophorum,Trichophorum cespitosum,9426
Fabaceae,Trifolium,Trifolium alpestre,211
Fabaceae,Trifolium,Trifolium arvense,14312
Fabaceae,Trifolium,Trifolium campestre,16434
Fabaceae,Trifolium,Trifolium dubium,13632
Fabaceae,Trifolium,Trifolium fragiferum,7275
Fabaceae,Trifolium,Trifolium medium,17018
Fabaceae,Trifolium,Trifolium micranthum,43
Fabaceae,Trifolium,Trifolium montanum,3
Fabaceae,Trifolium,Trifolium pratense,32930
Fabaceae,Trifolium,Trifolium repens,86267
Juncaginaceae,Triglochin,Triglochin maritima,15349
Juncaginaceae,Triglochin,Triglochin palustris,13525
Asteraceae,Tripleurospermum,Tripleurospermum maritimum,2857
Asteraceae,Tripolium,Tripolium pannonicum,14894
Ranunculaceae,Trollius,Trollius europaeus,1571
Brassicaceae,Turritis,Turritis glabra,665
Asteraceae,Tussilago,Tussilago farfara,8215
Typhaceae,Typha,Typha angustifolia,10099
Typhaceae,Typha,Typha latifolia,62497
Ulmaceae,Ulmus,Ulmus glabra,12690
Ulmaceae,Ulmus,Ulmus laevis,51
Ulmaceae,Ulmus,Ulmus minor,271
Urticaceae,Urtica,Urtica dioica,142946
Urticaceae,Urtica,Urtica kioviensis,50
Lentibulariaceae,Utricularia,Utricularia australis,476
Lentibulariaceae,Utricularia,Utricularia intermedia,356
Lentibulariaceae,Utricularia,Utricularia minor,604
Lentibulariaceae,Utricularia,Utricularia ochroleuca,37
Lentibulariaceae,Utricularia,Utricularia vulgaris,609
Ericaceae,Vaccinium,Vaccinium myrtillus,17152
Ericaceae,Vaccinium,Vaccinium oxycoccos,26735
Ericaceae,Vaccinium,Vaccinium uliginosum,31458
Ericaceae,Vaccinium,Vaccinium vitis-idaea,31751
Caprifoliaceae,Valeriana,Valeriana dioica,3828
Caprifoliaceae,Valeriana,Valeriana officinalis,994
Caprifoliaceae,Valeriana,Valeriana excelsa,1636
Caprifoliaceae,Valeriana,Valeriana sambucifolia,32963
Caprifoliaceae,Valerianella,Valerianella locusta,1649
Scrophulariaceae,Verbascum,Verbascum densiflorum,764
Scrophulariaceae,Verbascum,Verbascum nigrum,1872
Scrophulariaceae,Verbascum,Verbascum thapsus,1272
Plantaginaceae,Veronica,Veronica anagallis-aquatica,1758
Plantaginaceae,Veronica,Veronica arvensis,6183
Plantaginaceae,Veronica,Veronica beccabunga,14540
Plantaginaceae,Veronica,Veronica catenata,1679
Plantaginaceae,Veronica,Veronica chamaedrys,36378
Plantaginaceae,Veronica,Veronica sublobata,1531
Plantaginaceae,Veronica,Veronica montana,3061
Plantaginaceae,Veronica,Veronica officinalis,18105
Plantaginaceae,Veronica,Veronica scutellata,2885
Plantaginaceae,Veronica,Veronica serpyllifolia,5470
Plantaginaceae,Veronica,Veronica spicata,642
Plantaginaceae,Veronica,Veronica verna,74
Viburnaceae,Viburnum,Viburnum opulus,6993
Fabaceae,Vicia,Vicia cassubica,69
Fabaceae,Vicia,Vicia cracca,62468
Fabaceae,Vicia,Vicia dumetorum,67
Fabaceae,Vicia,Vicia hirsuta,8651
Fabaceae,Vicia,Vicia lathyroides,2198
Fabaceae,Vicia,Vicia orobus,144
Fabaceae,Vicia,Vicia sativa,17379
Fabaceae,Vicia,Vicia sepium,2897
Fabaceae,Vicia,Vicia sylvatica,263
Fabaceae,Vicia,Vicia tenuifolia,126
Fabaceae,Vicia,Vicia tetrasperma,1028
Apocynaceae,Vincetoxicum,Vincetoxicum hirundinaria,1035
Violaceae,Viola,Viola canina,10402
Violaceae,Viola,Viola epipsila,15
Violaceae,Viola,Viola hirta,2566
Violaceae,Viola,Viola mirabilis,83
Violaceae,Viola,Viola palustris,20025
Violaceae,Viola,Viola reichenbachiana,3180
Violaceae,Viola,Viola riviniana,5062
Violaceae,Viola,Viola stagnina,199
Violaceae,Viola,Viola tricolor,7639
Violaceae,Viola,Viola uliginosa,28
Caryophyllaceae,Viscaria,Viscaria vulgaris,1202
Poaceae,Festuca,Festuca bromoides,474
Potamogetonaceae,Zannichellia,Zannichellia palustris,361
Zosteraceae,Zostera,Zostera angustifolia,41
Zosteraceae,Zostera,Zostera marina,416
Zosteraceae,Zostera,Zostera noltii,68
